run_name,model,model_display,subject_count,n_subjects_requested,ablation_seed,selected_subjects,selected_subjects_key,n_folds,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_f1,global_threshold,threshold_used,n_oof_samples,run_dir
cnn_v2_0800_250hz_nsubj14_seed001,cnn_v2,CNN-v2,14.0,14.0,1.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'QFT39', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'WHR08']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|QFT39|RRO98|SAB93|SIT48|TRA37|WHR08,5.0,0.6088432817775452,0.5811158010644155,0.5813743672367825,0.587661457862885,0.493,0.493,21796,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj14/seed001
cnn_v2_0800_250hz_nsubj14_seed002,cnn_v2,CNN-v2,14.0,14.0,2.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'OLW10', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|OLW10|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6182308150676017,0.5884891432724629,0.58935509984935,0.6094416900194007,0.47500000000000003,0.47500000000000003,22014,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj14/seed002
cnn_v2_0800_250hz_nsubj14_seed003,cnn_v2,CNN-v2,14.0,14.0,3.0,"['DGR11', 'HMK96', 'LYY64', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|LYY64|MRB47|NXB64|OLW10|QFT39|QPI83|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6147592428300775,0.5847094243225983,0.5858743227541614,0.6088675030073896,0.47400000000000003,0.47400000000000003,21922,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj14/seed003
cnn_v2_0800_250hz_nsubj14_seed004,cnn_v2,CNN-v2,14.0,14.0,4.0,"['DGR11', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'OLW10', 'QFT39', 'QPI83', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|LRK01|LYY64|MNY88|MRB47|OLW10|QFT39|QPI83|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6112428845358047,0.5798961905644638,0.5815617193697353,0.6224017994751531,0.461,0.461,21578,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj14/seed004
cnn_v2_0800_250hz_nsubj14_seed005,cnn_v2,CNN-v2,14.0,14.0,5.0,"['DGR11', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92']",DGR11|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92,5.0,0.6105756093797258,0.5805298377486479,0.5810938844573789,0.5922658825625947,0.489,0.489,21818,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj14/seed005
cnn_v2_0800_250hz_nsubj18_seed001,cnn_v2,CNN-v2,18.0,18.0,1.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6174335383960733,0.5867327082964797,0.5869896368514679,0.5908438123927283,0.47900000000000004,0.47900000000000004,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj18/seed001
eegnet_0800_250hz_nsubj02_seed001,eegnet,EEGNet,2.0,2.0,1.0,"['OLW10', 'QFT39']",OLW10|QFT39,2.0,0.5547974729404173,0.551321450522434,0.5512553885884892,0.5448877805486284,0.529,0.529,3254,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed001
eegnet_0800_250hz_nsubj02_seed002,eegnet,EEGNet,2.0,2.0,2.0,"['LYY64', 'TRA37']",LYY64|TRA37,2.0,0.5766451492188231,0.5673758865248227,0.5663442167960833,0.5320781032078103,0.548,0.548,3102,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed002
eegnet_0800_250hz_nsubj02_seed003,eegnet,EEGNet,2.0,2.0,3.0,"['HMK96', 'SIT48']",HMK96|SIT48,2.0,0.5636591478696742,0.5525318635893903,0.5516058137768665,0.6009216589861751,0.47700000000000004,0.47700000000000004,2903,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed003
eegnet_0800_250hz_nsubj02_seed004,eegnet,EEGNet,2.0,2.0,4.0,"['SAB93', 'WHR08']",SAB93|WHR08,2.0,0.5418063962740444,0.5400183992640294,0.5395677755999564,0.5195387572069187,0.515,0.515,3261,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed004
