window,window_label,cnn_auc,cnn_v2_auc,auc_delta_v2_minus_cnn,cnn_bal_acc,cnn_v2_bal_acc,bal_acc_delta_v2_minus_cnn,cnn_f1,cnn_v2_f1,f1_delta_v2_minus_cnn
0200,0–200 ms,0.5328389985517117,0.5422184432632894,0.0093794447115777,0.5262038252905077,0.5333314964692397,0.007127671178732031,0.5409162500855988,0.5417751397132841,0.0008588896276852109
300500,300–500 ms,0.5971245995894179,0.59521661710589,-0.0019079824835278592,0.5707867628442296,0.5703035569150486,-0.00048320592918094096,0.593513874958208,0.5808542176565893,-0.012659657301618665
500800,500–800 ms,0.5649410079678537,0.5740184467827771,0.0090774388149234,0.5478611615589375,0.5562561312475252,0.008394969688587661,0.5296393176878016,0.5619961612284069,0.03235684354060531
0800,0–800 ms,0.5535412781671566,0.6174335383960733,0.0638922602289167,0.5387078369205616,0.5869896368514679,0.04828179993090631,0.5403671987877506,0.5908438123927283,0.05047661360497768
