model,model_display,window,sfreq,real_run,shuffle_run,real_auc,shuffle_auc,auc_above_shuffle,real_bal_acc,shuffle_bal_acc,bal_acc_above_shuffle
cnn,CNN-v1,0800,250,cnn_0800_250hz,cnn_0800_250hz_shuffle,0.5535412781671566,0.5315441095218898,0.021997168645266796,0.5387078369205616,0.5258075098435734,0.012900327076988183
cnn_v2,CNN-v2,0800,250,cnn_v2_0800_250hz,cnn_v2_0800_250hz_shuffle,0.6174335383960733,0.5225888161598209,0.0948447222362524,0.5869896368514679,0.5186245800038795,0.06836505684758842
eegnet,EEGNet,0800,250,eegnet_0800_250hz,eegnet_0800_250hz_shuffle,0.6165762967591959,0.5197671239927432,0.09680917276645273,0.5858118554193255,0.5153531766336024,0.0704586787857231
