run_a,run_b,n_folds,mean_auc_a,mean_auc_b,mean_diff_a_minus_b,t,p,df,a_wins_every_fold,auc_a_per_fold,auc_b_per_fold
cnn_v2_0800_250hz,cnn_0800_250hz,5,0.6208619445531723,0.5588212958922987,0.062040648660873665,8.319010488236797,0.0011406312076846742,4,True,"[0.649644, 0.614053, 0.60715, 0.600686, 0.632777]","[0.566167, 0.552716, 0.560622, 0.555363, 0.559239]"
eegnet_0800_250hz,cnn_0800_250hz,5,0.619656986836927,0.5588212958922987,0.060835690944628394,9.072896858288512,0.0008180669523789457,4,True,"[0.648277, 0.609906, 0.603292, 0.609286, 0.627524]","[0.566167, 0.552716, 0.560622, 0.555363, 0.559239]"
eegnet_0800_250hz,cnn_v2_0800_250hz,5,0.619656986836927,0.6208619445531723,-0.0012049577162452697,-0.47582945435391094,0.6590181291731031,4,False,"[0.648277, 0.609906, 0.603292, 0.609286, 0.627524]","[0.649644, 0.614053, 0.60715, 0.600686, 0.632777]"
