run_dir,run_name,model,window,sfreq,shuffle_labels,global_threshold,cv_balanced_accuracy_at_global_threshold,model_name,train_val_path,X_train_val_shape,y_train_val_shape,subjects_train_val_shape,n_all_unique_subjects,n_unique_subjects,n_selected_subjects_config,selected_subjects_config,random_seed,checkpoint_dir,cnn_kernel_len,eegnet_kernel_len,mean_fold_auc,std_fold_auc,mean_fold_bal_acc,std_fold_bal_acc,mean_best_epoch,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_f1,n_oof_samples,threshold_used,n_subjects_requested,ablation_seed,n_selected_subjects,selected_subjects,n_folds,category,model_display,model_order,selected_subjects_key
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz,cnn_v2_0800_250hz,cnn_v2,0800,250,False,0.47900000000000004,0.5869896368514679,cnn_v2,/workspace/data/DERCo/inputs,"(28265, 32, 201)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz,,,0.6208619445531723,0.02007376393631823,0.586944234808535,0.015715251411219777,7.4,0.6174335383960733,0.5867327082964797,0.5869896368514679,0.5908438123927283,28265,0.47900000000000004,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v2,1,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0200_250hz,cnn_v2_0200_250hz,cnn_v2,0200,250,False,0.49,0.5333314964692397,cnn_v2,/workspace/data/DERCo/inputs,"(28265, 32, 51)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0200_250hz,,,0.5445578433635714,0.008037637275757266,0.5323821714557586,0.00469560620376361,10.8,0.5422184432632894,0.5329559525915443,0.5333314964692397,0.5417751397132841,28265,0.49,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v2,1,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_300500_250hz,cnn_v2_300500_250hz,cnn_v2,300500,250,False,0.49,0.5703035569150486,cnn_v2,/workspace/data/DERCo/inputs,"(28265, 32, 51)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_300500_250hz,,,0.5976112854532822,0.0180142997202681,0.5691790163141728,0.011629047416980978,9.6,0.59521661710589,0.5698213338050593,0.5703035569150486,0.5808542176565893,28265,0.49,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v2,1,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_500800_250hz,cnn_v2_500800_250hz,cnn_v2,500800,250,False,0.484,0.5562561312475252,cnn_v2,/workspace/data/DERCo/inputs,"(28265, 32, 76)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_500800_250hz,,,0.5777449202864443,0.012053098519997625,0.5554794684671208,0.00778438143710837,9.0,0.5740184467827771,0.5559525915443128,0.5562561312475252,0.5619961612284069,28265,0.484,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v2,1,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz_shuffle,cnn_v2_0800_250hz_shuffle,cnn_v2,0800,250,True,0.487,0.5186245800038795,cnn_v2,/workspace/data/DERCo/inputs,"(28265, 32, 201)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz_shuffle,,,0.5228385656599253,0.011168677247957823,0.513623033652982,0.009057622240184263,10.4,0.5225888161598209,0.5178489297718026,0.5186245800038795,0.5399054692775151,28265,0.487,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v2,1,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/eegnet_0800_250hz_shuffle,eegnet_0800_250hz_shuffle,eegnet,0800,250,True,0.488,0.5153531766336024,eegnet,/workspace/data/DERCo/inputs,"(28265, 32, 201)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline/eegnet_0800_250hz_shuffle,,125.0,0.5226581880116592,0.024307864679070073,0.512420533875369,0.015830818573719777,4.0,0.5197671239927432,0.5135326375375907,0.5153531766336024,0.5665742024965326,28265,0.488,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,EEGNet,2,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed001,cnn_0800_250hz_nsubj02_seed001,cnn,0800,250,False,0.492,0.5437726598386342,cnn,/workspace/data/DERCo/inputs,"(3254, 32, 201)","(3254,)","(3254,)",18.0,2,2.0,"['OLW10', 'QFT39']",42,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed001,31.0,,0.5565451601622013,0.013299306563740435,0.534344704208668,0.011798642529373734,8.5,0.548914273323035,0.544560540872772,0.5437726598386342,0.47558386411889597,3254,0.492,2.0,1.0,2.0,"['OLW10', 'QFT39']",2.0,subject_ablation,CNN-v1,0,OLW10|QFT39
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed002,cnn_0800_250hz_nsubj02_seed002,cnn,0800,250,False,0.433,0.5465132379081299,cnn,/workspace/data/DERCo/inputs,"(3102, 32, 201)","(3102,)","(3102,)",18.0,2,2.0,"['LYY64', 'TRA37']",42,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed002,31.0,,0.5588505362181955,0.018721500594051508,0.5264778389276421,0.017823955797090313,14.5,0.5569509672456627,0.5454545454545454,0.5465132379081299,0.5711678832116789,3102,0.433,2.0,2.0,2.0,"['LYY64', 'TRA37']",2.0,subject_ablation,CNN-v1,0,LYY64|TRA37
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed003,cnn_0800_250hz_nsubj02_seed003,cnn,0800,250,False,0.525,0.5313762626262626,cnn,/workspace/data/DERCo/inputs,"(2903, 32, 201)","(2903,)","(2903,)",18.0,2,2.0,"['HMK96', 'SIT48']",42,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed003,31.0,,0.5356107605227323,0.04010395648865886,0.5064852546585047,0.0020197767039136774,0.5,0.5260127117035012,0.5322080606269376,0.5313762626262626,0.5782608695652174,2903,0.525,2.0,3.0,2.0,"['HMK96', 'SIT48']",2.0,subject_ablation,CNN-v1,0,HMK96|SIT48
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed004,cnn_0800_250hz_nsubj02_seed004,cnn,0800,250,False,0.517,0.5258687563720087,cnn,/workspace/data/DERCo/inputs,"(3261, 32, 201)","(3261,)","(3261,)",18.0,2,2.0,"['SAB93', 'WHR08']",42,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed004,31.0,,0.5262537601004077,0.008099727123891105,0.511277434629756,0.008867914845325186,5.0,0.5229587940303448,0.5271389144434223,0.5258687563720087,0.47010309278350515,3261,0.517,2.0,4.0,2.0,"['SAB93', 'WHR08']",2.0,subject_ablation,CNN-v1,0,SAB93|WHR08
